职位,公司,地址,薪酬,标签
Java开发工程师,广州市林丰环保科技有限公司,广州-天河区,2.5-3万/月,"['3-4年经验', '本科', '招若干人', '07-16发布']"
JAVA中高级开发工程师,广东明世教育集团有限公司,广州-番禺区,0.8-1.5万/月,"['3-4年经验', '本科', '招若干人', '07-16发布', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '周末双休']"
java软件开发工程师/双休,青岛百森通支付有限公司,青岛-崂山区,0.8-1万/月,"['2年经验', '本科', '招若干人', '07-16发布', '周末双休', '弹性工作', '交通补贴', '加班补贴', '节日福利', '五险一金', '通讯补贴']"
JAVA开发工程师(000993),上海中文在线文化发展有限公司,上海,1.5-2万/月,"['3-4年经验', '本科', '招若干人', '07-16发布', '五险一金', '专业培训', '交通补贴', '弹性工作', '年终奖金', '绩效奖金', '定期体检', '通讯补贴', '股票期权']"
JAVA开发工程师,深圳市如恋信息科技有限公司,深圳-南山区,1-1.5万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '五险一金', '年终奖金', '弹性工作', '员工旅游', '大小周休', '专业培训']"
Java资深开发工程师,河北易骋云数据科技有限公司,上海-徐汇区,1.5-2.5万/月,"['3-4年经验', '大专', '招2人', '07-16发布', '五险一金', '周末双休', '弹性工作', '带薪年假', '绩效奖金']"
java工程师,上海耸智信息科技有限公司,杭州-江干区,1-1.5万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '五险一金', '弹性工作', '交通补贴', '餐饮补贴', '年终奖金', '员工旅游', '通讯补贴', '绩效奖金']"
Java开发工程师（互联网金融方向）03,上海复深蓝软件股份有限公司,上海,1.5-2万/月,"['5-7年经验', '大专', '招2人', '07-16发布', '五险一金', '出国机会', '股票期权', '年终奖金', '员工旅游', '通讯补贴', '专业培训', '绩效奖金', '弹性工作', '定期体检']"
(急聘) java开发工程师,深圳讯腾软件技术有限公司,深圳-南山区,4.5-6千/月,"['无工作经验', '大专', '招2人', '07-16发布', '五险一金', '餐补补贴', '住房补贴', '专业培训', '绩效奖金', '年底双薪', '弹性工作', '员工旅游', '定期体检', '下午茶']"
Java高级开发工程师,上海泛微网络科技股份有限公司,上海-闵行区,1.5-2.5万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '定期体检', '专业培训', '绩效奖金', '员工旅游', '年终奖金', '包三餐']"
Java高级开发工程师（金融科技）,上海指旺信息科技有限公司,上海-宝山区,1.5-2.5万/月,"['5-7年经验', '大专', '招5人', '07-16发布', '五险一金', '补充医疗保险', '员工旅游', '交通补贴', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']"
Java后台开发工程师,云从科技,苏州,1.5-2.5万/月,"['5-7年经验', '本科', '招若干人', '07-16发布']"
Java开发工程师,北京陆秦网络科技有限公司,北京-朝阳区,0.8-1.5万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '补充公积金', '绩效奖金', '专业培训', '弹性工作']"
Java,深圳市智慧盾科技有限公司,深圳,1.8-2.5万/月,"['5-7年经验', '大专', '招3人', '07-16发布', '五险一金', '员工旅游', '弹性工作', '带薪年假', '年终奖金', '交通补贴']"
Java 后端,重庆格泰尚恒网络科技有限公司,重庆-渝北区,1.5-1.7万/月,"['无工作经验', '招2人', '07-16发布', '五险', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '弹性工作', '节日礼品', '生日礼金', '全勤奖']"
JAVA开发工程师,广州广之旅国际旅行社股份有限公司,广州-白云区,9-25万/年,"['无工作经验', '招7人', '07-16发布']"
Java开发工程师,佛山市小寨科技有限公司,异地招聘,0.8-1.5万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '餐饮补贴', '五险一金']"
